[DEBUG | 2017-08-11 15:10:53,083] | vendor_name = General rediscenter = 120.132.71.215 serverarea_name = Asia:China:Beijing
[INFO  | 2017-08-11 15:10:53,083] | wait for redis_update
[ERROR | 2017-08-11 15:11:31,326] | connection closed
[ERROR | 2017-08-11 15:11:31,326] | connect error uuid: 
[ERROR | 2017-08-11 15:11:31,326] | connection closed
[ERROR | 2017-08-11 15:11:31,326] | connect error uuid: 
[ERROR | 2017-08-11 15:11:31,327] | connection closed
[ERROR | 2017-08-11 15:11:31,327] | connect error uuid: 
[ERROR | 2017-08-11 15:11:31,327] | connection closed
[ERROR | 2017-08-11 15:11:31,327] | connect error uuid: 
[ERROR | 2017-08-11 15:11:31,327] | connection closed
[ERROR | 2017-08-11 15:11:31,327] | connect error uuid: 
[FATAL | 2017-08-11 15:11:32,774] | CRASH HANDLED; Application has crashed due to [SIGINT] signal
[WARN  | 2017-08-11 15:11:32,774] | Aborting application. Reason: Fatal log at [../include/application/easylogging++.h:5583]
[DEBUG | 2017-08-11 15:12:45,339] | vendor_name = General rediscenter = 120.132.71.215 serverarea_name = Asia:China:Beijing
[INFO  | 2017-08-11 15:12:45,339] | wait for redis_update
[ERROR | 2017-08-11 15:15:34,190] | connection closed
[ERROR | 2017-08-11 15:15:34,190] | connect error uuid: 100_0
[ERROR | 2017-08-11 15:15:34,191] | connection closed
[ERROR | 2017-08-11 15:15:34,191] | connect error uuid: 101_0
[ERROR | 2017-08-11 15:15:34,191] | connection closed
[ERROR | 2017-08-11 15:15:34,191] | connect error uuid: 103_0
[ERROR | 2017-08-11 15:15:34,191] | connection closed
[ERROR | 2017-08-11 15:15:34,191] | connect error uuid: 102_0
[ERROR | 2017-08-11 15:15:34,191] | connection closed
[ERROR | 2017-08-11 15:15:34,191] | connect error uuid: 104_0
[FATAL | 2017-08-11 15:15:36,742] | CRASH HANDLED; Application has crashed due to [SIGINT] signal
[WARN  | 2017-08-11 15:15:36,742] | Aborting application. Reason: Fatal log at [../include/application/easylogging++.h:5583]
